Restaurant_id,Name,Country,City,Rating,Rating_count,Cuisine,Cuisine.1
410318,The Garlic Bread,India,"New Palasia,Indore",,Too Few Ratings,"Snacks,Beverages","Snacks,Beverages"
492883,Potful - Claypot Biryanis,India,"Manikonda,Hyderabad",3.9,100+ ratings,"Biryani,Kebabs","Biryani,Kebabs"
368506,HAPPYNESS RELOADED,India,"Madhapur,Hyderabad",3.5,20+ ratings,"Indian,Chinese","Indian,Chinese"
563113,ITC Fabelle Chocolates,India,"OMR Perungudi,Chennai",,Too Few Ratings,"Bakery,Desserts","Bakery,Desserts"
332593,Indiana Burgers,India,Mangaluru,4.4,100+ ratings,Fast Food,Fast Food
460237,Food Village,India,Manipal,,Too Few Ratings,"South Indian,North Indian","South Indian,North Indian"
222937,Fruit Bae,India,Kozhikode,4.2,100+ ratings,"Beverages,Juices","Beverages,Juices"
374732,Cheesiest Pizzas,India,"Akota,Vadodara",,Too Few Ratings,"Pizzas,Italian","Pizzas,Italian"
253447,MOMO,India,Davanagere,3.2,50+ ratings,Chinese,Chinese
111746,Cafe Roost Dine & Lounge,India,"Aliganj,Lucknow",3.8,50+ ratings,"Chinese,Indian","Chinese,Indian"
237340,Firangi Bake,India,"N A D,Vizag",3.8,20+ ratings,"Italian,Mexican","Italian,Mexican"
255872,Amadora Gourmet Ice Cream,India,"Velachery,Chennai",,Too Few Ratings,"Ice Cream,Desserts","Ice Cream,Desserts"
542754,Banarsi Khichdi Wala,India,"Indirapuram,Delhi",,Too Few Ratings,"Indian,Sweets","Indian,Sweets"
235587,Wok Me,India,"Greater Kailash 2,Delhi",4.2,20+ ratings,"Chinese,Thai","Chinese,Thai"
511877,Paachis Bakery,India,Kavali,,Too Few Ratings,"Bakery,Pizzas","Bakery,Pizzas"
52972,Behrouz Biryani,India,"Bibwewadi,Pune",4.5,100+ ratings,"Biryani,Mughlai","Biryani,Mughlai"
487177,JM Housefull Paratha and Pure Veg Restaurant,India,"Narhe,Pune",4.2,20+ ratings,"North Indian,Chinese","North Indian,Chinese"
498454,Floc For The Love Of Cake & Cafe,India,Bahadurgarh,,Too Few Ratings,"Fast Food,Snacks","Fast Food,Snacks"
399864,Sheetal Foods,India,"Narhe,Pune",,Too Few Ratings,Chinese,Chinese
504618,Alif Aahan,India,Ranaghat-wb,,Too Few Ratings,"Pizzas,Chinese","Pizzas,Chinese"
411774,DELHI THALI AND ROLLS HOUSE,India,"Indiranagar,Bangalore",,Too Few Ratings,"Chaat,Indian","Chaat,Indian"
307222,Chokho Jeemo - By Marwadi,India,Panipat,,Too Few Ratings,Rajasthani,Rajasthani
317981,DEVNARAYAN KULFI ICECREAM,India,"South Mohali,Chandigarh",,Too Few Ratings,Ice Cream,Ice Cream
533940,FOOD FORMULA CAFE,India,Ranchi,,Too Few Ratings,"Indian,Kebabs","Indian,Kebabs"
398025,D PIZEERIAS'S,India,"Geddalahalli,Bangalore",3.1,20+ ratings,"Pizzas,Pastas","Pizzas,Pastas"
226973,Makhan Bhog,India,Siliguri,3.9,100+ ratings,"Sweets,Snacks","Sweets,Snacks"
383007,Ayushman,India,"Burrabazar,Kolkata",,Too Few Ratings,"Chinese,Tandoor","Chinese,Tandoor"
434634,Muskan Hotel,India,Katihar,3.4,50+ ratings,North Indian,North Indian
292570,Mayura Sagar,India,"Whitefield,Bangalore",4.3,500+ ratings,"Indian,Chinese","Indian,Chinese"
576434,MERRYYANA,India,"Kharadi,Pune",,Too Few Ratings,"Waffle,Desserts","Waffle,Desserts"
341164,Prachand Food Service,India,"GOTA,Ahmedabad",,Too Few Ratings,Indian,Indian
130962,Sai Chinese And Fast Food,India,Amravati,3.3,100+ ratings,"North Indian,Chinese","North Indian,Chinese"
520011,Mr Taco Pizza Hut,India,"Kharkhana & Trimulgherry,Hyderabad",,Too Few Ratings,"Pizzas,Juices","Pizzas,Juices"
122574,Swagat Hotel,India,Nanded,,Too Few Ratings,"Chinese,Maharashtrian","Chinese,Maharashtrian"
410364,Shake It,India,"Jadavpur,Kolkata",,Too Few Ratings,Beverages,Beverages
68209,Reliance Bakery,India,"Begumpet,Hyderabad",4.3,100+ ratings,"Bakery,Desserts","Bakery,Desserts"
399909,K-9 Yummy Momos Centre,India,"Kharadi,Pune",,Too Few Ratings,Chinese,Chinese
440604,Paratha Box by EatFit,India,"Sai Baba Colony,Coimbatore",4.0,100+ ratings,"North Indian,Punjabi","North Indian,Punjabi"
527194,MAA TARA ENTERPRISE,India,"Ruby Area,Kolkata",,Too Few Ratings,"Desserts,Ice Cream","Desserts,Ice Cream"
509678,Sri Raghavendra Fast Food and Dhaba,India,"Attapur,Hyderabad",,Too Few Ratings,"North Indian,Chinese","North Indian,Chinese"
184431,Ossh Cafe,India,Hoshangabad,,Too Few Ratings,"Beverages,Italian","Beverages,Italian"
173994,Sree Baalaaji Bhavan Pure Veg (Anjali Bypass),India,Dindigul,4.2,20+ ratings,"North Indian,South Indian","North Indian,South Indian"
539428,Jenny's Brownies,India,Bhavnagar,,Too Few Ratings,"Bakery,Desserts","Bakery,Desserts"
433829,Friedwings,India,"Gajuwaka,Vizag",3.8,20+ ratings,Beverages,Beverages
573242,Little China,India,Siliguri,,Too Few Ratings,"Chinese,North Indian","Chinese,North Indian"
313836,Andhra Aromas,India,"Whitefield,Bangalore",,Too Few Ratings,"Andhra,Biryani","Andhra,Biryani"
103869,Hotel Atrium,India,Erode,4.0,100+ ratings,"Chinese,North Indian","Chinese,North Indian"
74099,Buhari Hotel,India,"Adyar,Chennai",4.5,100+ ratings,"Biryani,North Indian","Biryani,North Indian"
367303,RUGVED PURE VEG,India,"Bhosari,Pune",3.5,20+ ratings,North Indian,North Indian
